"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Grappling Kraken","U","U","0","","0","","1113","20.0%","51.4%","176","","289","","465","","644","50.2%",""
"Perforating Artist","BR","U","0","","0","","862","17.0%","51.4%","162","","204","","366","","495","",""
"Archmage of Runes","U","R","0","","0","","1172","44.0%","51.3%","188","","327","","515","50.7%","658","51.5%","-0.8pp"
"Broken Wings","G","C","0","","0","","1402","10.1%","51.2%","206","","327","","533","51.6%","870","51.0%","0.6pp"
"Quakestrider Ceratops","G","U","0","","0","","1238","22.6%","51.2%","215","","300","","515","49.1%","720","52.4%","-3.2pp"
"Dreadwing Scavenger","UB","U","0","","0","","910","16.9%","51.2%","150","","234","","384","","527","48.2%",""
"Reclamation Sage","G","U","0","","0","","2019","37.1%","51.1%","338","","451","","789","50.1%","1226","51.9%","-1.8pp"
"Phyrexian Arena","B","R","0","","0","","1323","50.4%","51.1%","240","","317","","557","50.3%","764","51.7%","-1.4pp"
"Thrill of Possibility","R","C","0","","0","","1806","13.5%","50.9%","323","","375","","698","46.4%","1110","53.6%","-7.2pp"
"Icewind Elemental","U","C","0","","0","","2958","22.6%","50.7%","499","","801","52.6%","1300","50.2%","1656","50.8%","-0.6pp"
"Macabre Waltz","B","C","0","","0","","2760","20.6%","50.7%","474","","650","51.2%","1124","49.0%","1636","51.9%","-2.9pp"
"Diregraf Ghoul","B","U","0","","0","","1149","22.4%","50.7%","218","","266","","484","","664","50.6%",""
"Sanguine Syphoner","B","C","0","","0","","3231","24.1%","50.6%","584","50.2%","739","49.9%","1323","50.0%","1903","50.8%","-0.8pp"
"Genesis Wave","G","R","0","","0","","568","20.7%","50.5%","100","","139","","239","","329","",""
"Crypt Feaster","B","C","0","","0","","881","6.4%","50.5%","142","","219","","361","","522","51.7%",""
"Run Away Together","U","C","0","","0","","2214","16.8%","50.5%","383","","603","51.7%","986","50.1%","1225","50.9%","-0.8pp"
"Swiftwater Cliffs","","C","0","","0","","1149","16.2%","50.5%","180","","265","","445","","702","48.3%",""
"Jungle Hollow","","C","0","","0","","1845","27.4%","50.4%","339","","422","","761","52.8%","1083","48.8%","4.1pp"
"Burnished Hart","","U","0","","0","","1894","35.7%","50.4%","355","","423","","778","50.4%","1112","50.2%","0.2pp"
"Muldrotha, the Gravetide","UBG","M","0","","0","","541","41.6%","50.3%","80","","143","","223","","317","",""
"Thornwood Falls","","C","0","","0","","1852","27.5%","50.1%","359","","455","","814","49.6%","1036","50.4%","-0.8pp"
"Balmor, Battlemage Captain","UR","U","0","","0","","705","12.4%","50.1%","126","","172","","298","","406","",""
"Elementalist Adept","U","C","0","","0","","2495","18.5%","50.0%","485","","591","50.1%","1076","50.7%","1409","49.4%","1.3pp"
"Imprisoned in the Moon","U","U","0","","0","","1279","22.7%","50.0%","250","","325","","575","48.9%","703","50.9%","-2.1pp"
"Frenzied Goblin","R","U","0","","0","","811","14.4%","49.8%","149","","182","","331","","479","",""
"Brineborn Cutthroat","U","U","0","","0","","1419","25.3%","49.7%","268","","351","","619","48.6%","789","49.8%","-1.2pp"
"Grow from the Ashes","G","C","0","","0","","3670","27.8%","49.7%","618","44.3%","854","49.8%","1472","47.5%","2194","51.0%","-3.6pp"
"Wardens of the Cycle","BG","U","0","","0","","1589","28.4%","49.7%","268","","378","","646","50.5%","937","48.9%","1.6pp"
"Slagstorm","R","R","0","","0","","713","29.1%","49.6%","133","","158","","291","","422","",""
"Swiftfoot Boots","","U","0","","0","","666","12.5%","49.5%","114","","149","","263","","403","",""
"Aegis Turtle","U","C","0","","0","","974","7.1%","49.4%","170","","246","","416","","553","48.8%",""
"Swiftblade Vindicator","WR","R","0","","0","","553","22.4%","49.4%","108","","116","","224","","330","",""
"Erudite Wizard","U","C","0","","0","","2105","15.2%","49.4%","398","","550","50.9%","948","48.5%","1154","49.9%","-1.4pp"
"Tatyova, Benthic Druid","UG","U","0","","0","","2148","38.7%","49.3%","355","","534","52.4%","889","50.8%","1249","48.0%","2.8pp"
"Firebrand Archer","R","C","0","","0","","2402","17.2%","49.3%","449","","506","46.6%","955","45.7%","1446","51.7%","-6.1pp"
"Aetherize","U","U","0","","0","","1059","19.9%","49.3%","174","","262","","436","","623","49.3%",""
"Consuming Aberration","UB","R","0","","0","","791","33.6%","49.2%","127","","221","","348","","432","",""
"Lightshell Duo","U","C","0","","0","","1951","14.1%","49.1%","357","","541","51.8%","898","50.1%","1047","48.1%","2.0pp"
"Rune-Sealed Wall","U","U","0","","0","","837","15.0%","48.7%","142","","220","","362","","475","",""
"Sure Strike","R","C","0","","0","","1841","13.6%","48.7%","322","","389","","711","47.4%","1129","49.6%","-2.2pp"
"Inspiring Call","G","U","0","","0","","545","9.7%","48.6%","97","","126","","223","","322","",""
"Elvish Archdruid","G","R","0","","0","","1137","43.8%","48.5%","204","","272","","476","","659","49.3%",""
"Mocking Sprite","U","C","0","","0","","2066","14.8%","48.4%","358","","513","48.3%","871","47.0%","1187","49.2%","-2.2pp"
"Zombify","B","U","0","","0","","1372","25.7%","48.3%","235","","327","","562","47.0%","805","48.8%","-1.8pp"
"Lathril, Blade of the Elves","BG","R","0","","0","","1110","40.0%","48.2%","164","","289","","453","","656","48.0%",""
"Revenge of the Rats","B","U","0","","0","","677","12.0%","48.2%","133","","168","","301","","376","",""
"Cephalid Inkmage","U","U","0","","0","","875","15.6%","48.0%","161","","238","","399","","471","",""
"Arcane Epiphany","U","U","0","","0","","1214","23.0%","47.9%","182","","319","","501","49.5%","712","46.6%","2.9pp"
"Nine-Lives Familiar","B","R","0","","0","","1015","39.4%","47.8%","189","","238","","427","","584","49.0%",""
"Self-Reflection","U","U","0","","0","","560","10.5%","47.7%","83","","156","","239","","320","",""
"Homunculus Horde","U","R","0","","0","","839","33.2%","47.2%","145","","223","","368","","474","",""
"Tolarian Terror","U","C","0","","0","","2578","18.6%","46.7%","450","","709","48.0%","1159","45.5%","1416","47.7%","-2.2pp"
"Clinquant Skymage","U","U","0","","0","","1223","22.9%","46.3%","226","","313","","539","44.5%","685","47.6%","-3.1pp"
"Extravagant Replication","U","R","0","","0","","854","36.7%","46.3%","132","","201","","333","","517","48.5%",""
"Crackling Cyclops","R","C","0","","0","","521","3.8%","42.8%","82","","117","","199","","322","",""
