"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Diregraf Ghoul","B","U","28719","5.79","4100","8.20","11914","50.2%","53.6%","2088","56.9%","2821","51.9%","4909","54.0%","6991","53.4%","0.7pp"
"Dauntless Veteran","W","U","20865","4.08","3906","5.26","16641","74.5%","53.6%","2871","52.8%","3662","52.8%","6533","52.8%","10077","54.1%","-1.3pp"
"Wary Thespian","G","C","70502","5.47","10652","7.55","46457","76.0%","53.6%","8588","55.1%","10269","54.1%","18857","54.5%","27539","52.9%","1.6pp"
"Macabre Waltz","B","C","81028","7.03","11869","9.88","27601","40.6%","53.6%","4553","49.3%","7132","55.5%","11685","53.1%","15883","53.9%","-0.8pp"
"Brazen Scourge","R","U","25681","5.19","4348","7.03","15285","60.8%","53.6%","2637","53.3%","3302","51.4%","5939","52.2%","9363","54.5%","-2.2pp"
"Affectionate Indrik","G","U","22100","4.25","4468","5.47","20029","77.4%","53.6%","3245","50.8%","4761","57.0%","8006","54.5%","11996","52.7%","1.8pp"
"Marauding Blight-Priest","B","C","74210","6.14","9862","8.88","26017","46.3%","53.5%","4466","52.2%","6241","54.2%","10707","53.4%","15323","53.7%","-0.3pp"
"Ambush Wolf","G","C","77367","6.34","9412","9.12","29060","53.7%","53.5%","5263","54.0%","6411","55.5%","11674","54.8%","17363","52.6%","2.2pp"
"Bite Down","G","C","54833","4.06","10373","5.31","52189","87.4%","53.5%","8787","52.7%","12020","55.7%","20807","54.5%","31363","52.9%","1.6pp"
"Anthem of Champions","WG","R","6433","3.10","1698","3.37","6529","67.8%","53.5%","1149","55.6%","1401","54.4%","2550","54.9%","3979","52.6%","2.3pp"
"Goblin Surprise","R","C","75150","6.24","11806","8.65","40815","60.3%","53.4%","7073","51.1%","9182","53.1%","16255","52.2%","24543","54.2%","-2.0pp"
"Archmage of Runes","U","R","4873","2.38","2228","2.44","10746","86.0%","53.4%","1814","52.6%","3195","56.1%","5009","54.8%","5788","52.1%","2.8pp"
"Reassembling Skeleton","B","U","24967","4.89","4600","6.52","19454","73.8%","53.4%","3466","49.7%","4737","54.2%","8203","52.3%","11236","54.2%","-1.9pp"
"Etali, Primal Storm","R","R","4051","2.00","1947","1.95","9450","84.6%","53.4%","1645","53.1%","2210","53.3%","3855","53.2%","5606","53.2%","-0.0pp"
"Fiend Artisan","BG","M","320","","130","","682","89.4%","53.4%","133","","149","","282","","396","",""
"Zul Ashur, Lich Lord","B","R","7607","3.40","1858","4.05","7028","66.1%","53.4%","1262","53.9%","1678","54.8%","2940","54.4%","4078","52.6%","1.8pp"
"Swiftwater Cliffs","","C","41196","7.27","7015","9.85","18290","45.6%","53.4%","3440","54.6%","4518","52.7%","7958","53.5%","10300","53.2%","0.3pp"
"Temporal Manipulation","U","M","405","","157","","787","85.0%","53.4%","136","","240","","376","","411","",""
"Balmor, Battlemage Captain","UR","U","23136","5.03","5044","5.96","17879","62.3%","53.3%","3173","54.9%","4643","54.5%","7816","54.7%","10081","52.2%","2.5pp"
