Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IWD
Overlord of the Boilerbilges,R,M,6950,1.37,5502,1.35,32571,92.90%,58.30%,5626,62.80%,7786,65.30%,13412,64.30%,19198,54.20%,10.1pp
Painter's Studio // Defaced Gallery,R,U,105642,3.9,29635,4.68,151664,83.30%,55.90%,26154,55.70%,34319,58.40%,60473,57.20%,90969,55.00%,2.2pp
Piggy Bank,R,U,91333,3.29,29189,3.96,165609,91.90%,56.00%,30017,59.70%,37014,56.00%,67031,57.60%,98688,54.90%,2.7pp
Pyroclasm,R,U,145887,5.71,19554,8.16,39475,34.10%,50.80%,6913,50.40%,9793,53.90%,16706,52.50%,22738,49.60%,2.8pp
Ragged Playmate,R,C,392901,6.42,64879,8.87,251187,63.30%,55.50%,44309,54.60%,53560,54.20%,97869,54.40%,153209,56.20%,-1.8pp
Rampaging Soulrager,R,C,428044,8.08,52766,11.44,63683,20.30%,49.10%,10702,46.70%,16272,51.00%,26974,49.30%,36752,49.00%,0.3pp
Razorkin Hordecaller,R,U,88898,3.29,30270,3.82,168747,90.00%,56.50%,27341,57.40%,38864,59.60%,66205,58.70%,102822,55.10%,3.6pp
Razorkin Needlehead,R,R,28339,2.58,9040,2.91,47635,87.20%,54.80%,8472,56.80%,10683,55.60%,19155,56.20%,28525,54.00%,2.2pp
Ripchain Razorkin,R,C,425724,7.73,53120,11.13,63196,19.70%,53.00%,10110,50.40%,14979,54.50%,25089,52.80%,38206,53.10%,-0.2pp
The Rollercrusher Ride,R,M,8053,1.59,6141,1.57,35438,93.60%,55.60%,5866,55.80%,8818,63.00%,14684,60.10%,20703,52.40%,7.7pp
Scorching Dragonfire,R,C,219788,3.3,73494,3.96,414048,91.70%,55.60%,72545,57.10%,95059,57.50%,167604,57.30%,246284,54.50%,2.9pp
Screaming Nemesis,R,M,8295,1.63,5563,1.62,32089,92.00%,57.10%,5744,62.00%,7519,61.60%,13263,61.80%,18915,53.90%,7.9pp
Ticket Booth // Tunnel of Hate,R,C,378923,5.96,62584,8.33,227669,60.00%,54.20%,38447,53.80%,52977,56.10%,91424,55.10%,136077,53.60%,1.5pp
Trial of Agony,R,U,135745,5.07,23145,6.92,86048,61.60%,54.20%,13794,51.80%,19060,55.30%,32854,53.80%,53198,54.40%,-0.6pp
